UNITID,year,total_enrollment,undergrad_enrollment,grad_enrollment,XEYTOTLT_total
100654,2014,5591.0,4407.0,1184.0,R
100663,2014,21329.0,13107.0,8222.0,R
100690,2014,985.0,503.0,482.0,R
100706,2014,8621.0,6596.0,2025.0,R
100724,2014,6992.0,6124.0,868.0,R
100751,2014,38918.0,32392.0,6526.0,R
100760,2014,2617.0,2617.0,,R
100812,2014,4391.0,4391.0,,R
100830,2014,6268.0,5266.0,1002.0,R
100858,2014,26555.0,20760.0,5795.0,R
100937,2014,1225.0,1225.0,,R
101028,2014,2587.0,2587.0,,R
101073,2014,697.0,697.0,,R
101116,2014,1163.0,1020.0,143.0,R
101143,2014,3265.0,3265.0,,R
101161,2014,6635.0,6635.0,,R
101189,2014,3888.0,3205.0,683.0,R
101240,2014,8292.0,8292.0,,R
101277,2014,152.0,152.0,,R
101286,2014,6509.0,6509.0,,R
101295,2014,7262.0,7262.0,,R
101301,2014,2829.0,2829.0,,R
101365,2014,602.0,595.0,7.0,R
101435,2014,1417.0,1417.0,,R
101453,2014,111.0,79.0,32.0,R
101462,2014,2131.0,2131.0,,R
101471,2014,838.0,838.0,,R
101480,2014,10236.0,8731.0,1505.0,R
101499,2014,1605.0,1605.0,,R
101505,2014,13578.0,13578.0,,R
101514,2014,16800.0,16800.0,,R
101541,2014,380.0,380.0,,R
101569,2014,4611.0,4611.0,,R
101587,2014,5305.0,2187.0,3118.0,R
101602,2014,2241.0,2241.0,,R
101648,2014,445.0,445.0,,R
101675,2014,2019.0,2019.0,,R
101693,2014,1951.0,1766.0,185.0,R
101709,2014,3426.0,2846.0,580.0,R
101736,2014,5500.0,5500.0,,R
101879,2014,8184.0,6965.0,1219.0,R
101897,2014,3867.0,3867.0,,R
101912,2014,2063.0,2016.0,47.0,R
101949,2014,1893.0,1893.0,,R
101958,2014,164.0,164.0,,R
101994,2014,752.0,752.0,,R
102030,2014,5760.0,5760.0,,R
102049,2014,5294.0,3172.0,2122.0,R
102058,2014,615.0,585.0,30.0,R
102067,2014,7852.0,7852.0,,R
102076,2014,3192.0,3192.0,,R
102094,2014,17588.0,12904.0,4684.0,R
102234,2014,1639.0,1440.0,199.0,R
102261,2014,201.0,201.0,,R
102270,2014,1131.0,1131.0,,R
102298,2014,934.0,934.0,,R
102313,2014,2123.0,2123.0,,R
102368,2014,26232.0,20437.0,5795.0,R
102377,2014,3158.0,2611.0,547.0,R
102395,2014,954.0,312.0,642.0,R
102429,2014,5174.0,5174.0,,R
102553,2014,27685.0,26120.0,1565.0,R
102580,2014,46.0,46.0,,R
102614,2014,14851.0,13372.0,1479.0,R
