UNITID,F2D01__last,F2D16__last,F2A02__last,F2A03__last,total_expenses__last,change_in_net_assets__last,expendable_net_assets__last,endowment_eoy__last,operating_margin__last,expenses_to_revenue__last,assets_to_liabilities__last,operating_margin__mean3,expenses_to_revenue__mean3,assets_to_liabilities__mean3,reported_field_count__mean3,F2D16__slope,total_expenses__slope,expendable_net_assets__slope,F2D16__pct3,total_expenses__pct3,expendable_net_assets__pct3,log_F2D16,log_F2A02,log_F2A03,log_total_expenses,log_expendable_net_assets,log_endowment_eoy,tuition_dependence,closed_by_2024,as_of_year
100690,7408702,7840002,16820592.0,926932.0,7453320.0,386682.0,15893660.0,174819.0,0.0493216710914104,0.9506783289085896,18.14652207497421,0.07676233963472612,0.8966564683215096,10.104943096572448,8.0,-102291.47272727086,-54752.20909091061,802656.2727272754,-0.23414115790793988,-0.10718121071475503,0.4918510095740887,15.874749774979579,16.638114467535647,13.73963656577629,15.824170262841086,16.581430908451477,12.07151215213448,0.9449872589318217,0,2019
100937,10135162,31507440,90416824.0,35792952.0,43598720.0,-12091280.0,-36733976.0,52826730.0,-0.3837595183867683,1.3837595183867684,2.526106927419677,-0.21753926310864147,1.2175392631086415,3.007817449125386,8.0,-1812870.581818098,739850.2545454263,-10849685.454544105,-0.3553685620132123,-0.03403005960719097,-1.5841748590721363,17.26573429812201,18.319940925301374,17.39326158841927,17.5905383730266,-17.419212688547482,17.782527889505,0.32167519798498384,1,2019
101189,40809561,71282315,116948965.0,44774798.0,56787836.0,14494479.0,11418028.0,23452655.0,0.2033390610279702,0.7966609389720297,2.611937300085642,0.031076002380060645,0.9689239976199393,2.1822345778828884,8.0,2117169.036363673,1149528.8727272837,-3173763.518181793,0.6636653357387235,0.2742629334313948,-0.6795402140260846,18.08215883218148,18.57724820957017,17.617156016788744,17.854832723436765,16.250704155352476,16.970494308703003,0.5725061117894389,0,2019
101365,6118925,6556903,21815561.0,8723539.0,6849921.0,-309119.0,0.0,,-0.0471440556616439,1.0446884756416253,2.5007695844542,0.2018050932871325,0.8036848847607392,2.6759965514942743,7.875,55690.49999997601,304551.28571432875,-431346.2261905662,0.11416228777587692,0.28527988558813117,-1.0,15.69602909829673,16.898134126298316,15.981535676807107,15.739747823312264,0.0,,0.9332035261159117,0,2019
101435,11610782,28272325,94789198.0,24955486.0,25474276.0,2798049.0,7268578.0,56797744.0,0.0989677714867808,0.9010322285132192,3.798331076381362,0.05161812802774575,0.9483818719722542,3.3719175720649828,8.0,452147.2000000068,535022.7090909121,-220653.18181817152,0.25194934003074837,0.2703648641451406,0.047317916544851915,17.157394004318373,18.367166026135056,17.032604275822656,17.053179755904864,15.799071369606951,17.85500718219906,0.410676589208705,0,2019
101453,316188,9802352,29273729.0,1277274.0,3662002.0,6140350.0,14367889.0,15830314.0,0.6264159866938057,0.3735840133061943,22.918910899305864,0.26385484336702053,0.73513988908281,10.250252310111723,8.0,354005.74545455753,74118.04545454461,415533.5545454725,1.1967123107162858,0.23286281227233124,1.341834338063219,16.098133016861734,17.19220108478202,14.060239460303507,15.113520823440725,16.480506413592806,16.577437330585305,0.03225634011102641,0,2019
101541,1884907,9673439,31270049.0,16701634.0,9415776.0,257663.0,1353762.0,14047540.0,0.0266361321966262,0.9733638678033738,1.8722748325104,-0.06098048783630027,0.9496579217522785,1.993620504626364,7.857142857142857,-243000.85714284357,33279.78571427538,-1211956.0357145066,-0.20448947573276696,0.023762933659431766,-0.8136000083715745,16.084894543569426,17.2581713284094,16.631017176786298,16.057897244549192,14.118398680205985,16.45795792063303,0.194853867378499,1,2019
101675,13726743,32071605,99847388.0,18718069.0,28894764.0,375492.0,81129319.0,30341252.0,0.0117079266846794,0.9009453689642286,5.334278231370981,0.059049125522193074,0.9276717250001222,3.575070469105681,8.0,803621.2818181777,383321.0363636389,3087630.1636363827,0.07618469438605661,0.035949962222204854,0.5235701072171932,17.283481648369953,18.419153468260365,16.744999925408127,17.17917099480598,18.21155498272636,17.228018829647585,0.4280029951728328,0,2019
101693,14003121,31173357,73653262.0,32965045.0,31666927.0,-493570.0,17070461.0,25213200.0,-0.0158330718119322,1.0158330718119322,2.234283678362945,0.017223250291894546,0.9853164091934581,1.9950898915224615,8.0,530586.1090909005,271560.4363636411,279897.0272727231,0.08077370903920446,0.1864632870500308,0.04190493164171279,17.255074377734257,18.114879004032723,17.31095834594795,17.270783413494232,16.652860159430734,17.042878264526905,0.4492015729970949,0,2019
101912,17248039,63553119,112088713.0,37348020.0,65783520.0,-2230401.0,26681167.0,9755394.0,-0.0350950674820538,1.0350950674820538,3.001195592162583,0.013632918017392337,0.9863670819826076,4.726822974241236,8.0,565831.1272727313,1534697.5818181823,-5192143.527272672,0.14867851790474187,0.273131609992182,-0.5977261272810027,17.967386649595237,18.53480120500792,17.4357904828649,18.001879924200544,17.099468556164407,16.093331023274924,0.2713956336273598,0,2019
102049,120175870,229931884,1191579925.0,643748079.0,197342370.0,30259224.0,168012283.0,469998443.0,0.1316008179187537,0.8582644849724278,1.8510034652856804,0.06200395358808206,0.9060279781213072,1.9520611245693233,8.0,8638337.12727286,4207800.136363653,-3377011.8636361905,0.30167346860444005,0.3561265828562466,-0.1924665220495964,19.253293670851843,20.898545932404367,20.2828180274135,19.100450702117914,18.939547653742085,19.9682399420246,0.5226585713532448,0,2019
102058,52570,1342211,3294054.0,1003590.0,1331705.0,10506.0,0.0,178760.0,0.0078273833249764,0.9921726166750237,3.2822706483723434,0.19682173214180093,0.7183900668456122,6.2145999967884675,5.8,-370172.044077144,-319999.8833792525,-218748.07621671548,-0.7434875771566303,-0.5490964016558464,-1.0,14.109829557211683,15.007629886605223,13.819095125717972,14.101971384999347,0.0,12.09380499712438,0.039166718198554475,0,2019
102234,11788381,29766964,131738866.0,65365851.0,42764096.0,-12997132.0,17646632.0,4725172.0,-0.4366294123915358,1.4366294123915355,2.0154081065968223,-0.05728237608745244,1.058928336482893,2.1003442882586927,8.0,-1435334.199999991,-266058.20000000135,-1545053.336363603,-0.4642134583939027,0.005059151443276884,-0.5391254530491012,17.20890977952481,18.696332240866575,17.995510539391734,17.57120945337598,16.686055558273125,15.368414731996326,0.39602228161393954,0,2019
102270,6454448,19703117,68884385.0,6906616.0,20928184.0,-1225068.0,0.0,19795214.0,-0.0621763551421838,1.0621763043887928,9.973681032795222,-0.0086371904689367,0.9540138670176518,4.1885030129195435,8.0,688915.0818181566,79646.18181817135,-483526.0363636345,-0.03292012997460565,-0.0005197461758921732,-1.0,16.796287455295868,18.04794009201471,15.747990495541899,16.856607373031796,0.0,16.800950799792002,0.32758512269911405,0,2019
102298,5282714,25778809,115515342.0,36842833.0,33700562.0,896626.0,10034619.0,2622523.0,0.0347815137619429,1.3072970904125167,3.135354493504883,0.14115828551088624,0.8482063605169394,3.9575087605483685,7.909090909090909,2055573.9363636011,1513618.263636393,-3626800.5636363807,0.01588519036964127,1.057532032095255,-0.8086866425604591,17.06506339459611,18.564913918930532,17.422171693645616,17.333025101414496,16.121551672031707,14.77964777078364,0.2049246728194464,0,2019
