UNITID,year,F2D01,F2D16,F2A02,F2A03,total_expenses,change_in_net_assets,expendable_net_assets,assets_to_liabilities,operating_margin,expenses_to_revenue,endowment_boy,endowment_eoy,q_F2D01,q_F2D16,q_F2A02,q_F2A03,q_total_expenses,q_change_in_net_assets,q_expendable_net_assets,q_endowment_eoy,reported_field_count,all_fields_reported
100690,2014,6765224,10236876,13848241.0,3019785.0,8348077.0,1888799.0,10653651.0,4.585836740032817,0.18450931710025598,0.815490682899744,174805.0,174804.0,True,True,True,True,True,True,True,True,8,True
100690,2015,6709019,8550133,12008292.0,3194663.0,8064960.0,-2014827.0,8638824.0,3.7588603242345124,-0.2356486150566313,0.9432555025752231,174804.0,174805.0,True,True,True,True,True,True,True,True,8,True
100690,2016,6819566,7854250,12111063.0,3157036.0,7713852.0,140398.0,8779222.0,3.836213144227687,0.017875417767450743,0.9821245822325493,174805.0,174804.0,True,True,True,True,True,True,True,True,8,True
100690,2017,6602757,7428566,12007257.0,3009828.0,7385164.0,43402.0,8822624.0,3.9893498897611424,0.0058425811926554865,0.9941574188073445,174804.0,174805.0,True,True,True,True,True,True,True,True,8,True
100690,2018,7379154,8244091,12678027.0,2311542.0,6875035.0,1369056.0,10191680.0,5.4846621865404135,0.16606512470568313,0.8339348752943169,174805.0,174804.0,True,True,True,True,True,True,True,True,8,True
100690,2019,8266939,9710803,14438530.0,2487355.0,7286508.0,2424295.0,11776370.0,5.804772539504816,0.24964928235080044,0.7503507176491996,174804.0,174805.0,True,True,True,True,True,True,True,True,8,True
100690,2020,8417205,9188606,15207430.0,1055058.0,6987409.0,2201197.0,14152372.0,14.413833173152566,0.2395572298997258,0.7604427701002742,174805.0,174818.0,True,True,True,True,True,True,True,True,8,True
100690,2021,7751424,7940291,15676767.0,842459.0,7258355.0,681936.0,14834308.0,18.608344144937618,0.08588299849463955,0.9141170015053605,174818.0,174817.0,True,True,True,True,True,True,True,True,8,True
100690,2022,7219385,7413051,15939891.0,948846.0,7256314.0,156737.0,14991045.0,16.799239286459553,0.021143386171226936,0.9788566138287731,174817.0,174819.0,True,True,True,True,True,True,True,True,8,True
100690,2023,6909429,8572118,16559959.0,1052981.0,8056185.0,515933.0,15506978.0,15.726740558471615,0.0601873422647705,0.9398126577352295,174819.0,174864.0,True,True,True,True,True,True,True,True,8,True
100690,2024,7408702,7840002,16820592.0,926932.0,7453320.0,386682.0,15893660.0,18.146522074974214,0.04932167109141044,0.9506783289085896,174864.0,174819.0,True,True,True,True,True,True,True,True,8,True
100937,2014,13489284,48876673,195685360.0,72417000.0,45134655.0,3742018.0,62881816.0,2.70220196915089,0.07656040745653862,0.9234395925434614,50042970.0,53921439.0,True,True,True,True,True,True,True,True,8,True
